model,position,samples,positives,negatives,threshold,accuracy,macro_f1,tn,fp,fn,tp
Base,Step 1,2288,1144,1144,0.19132769107818604,0.7482517482517482,0.7449583383649317,986,158,418,726
Base,Step 2,986,493,493,0.19132769107818604,0.579107505070994,0.5139539717891611,105,388,27,466
Base,Step 3+,264,132,132,0.19132769107818604,0.5227272727272727,0.38762886597938145,7,125,1,131
LoRA,Step 1,2288,1144,1144,0.37937837839126587,0.9322552447552448,0.9322458095435515,1053,91,64,1080
LoRA,Step 2,986,493,493,0.37937837839126587,0.962474645030426,0.9624742976402688,473,20,17,476
LoRA,Step 3+,264,132,132,0.37937837839126587,0.9507575757575758,0.9507568692158692,126,6,7,125
