condition,model,retrieval_key,retrieval_k,dev_threshold,dev_macro_f1,test_samples,test_accuracy,test_macro_f1,test_auroc,test_auprc_correct,test_auprc_error,test_brier,test_ece_10_bin,test_tn,test_fp,test_fn,test_tp,test_runtime_seconds,peak_gpu_allocated_gib
Base,Base,none,0,0.19132769107818604,0.6835742240477389,3538,0.6842849067269644,0.6830028574249775,0.7163628612997989,0.6215654707167699,0.7567498049269537,0.27726630658208085,0.2417808251432788,1098,671,446,1323,335.7485067229718,
Base + question-only retrieval,Base,question,2,0.14414885640144348,0.6953779887171506,3538,0.6978518937252686,0.6913630549338905,0.7162642788735464,0.6213059926368985,0.7663770396161945,0.2792704582711225,0.24635580444743743,978,791,278,1491,347.0652334615588,4.677164077758789
Base + joint retrieval,Base,joint,2,0.15662017464637756,0.6966165114242496,3538,0.6834369700395704,0.6772461535654617,0.7161441265485191,0.6660799342938233,0.7595425364996932,0.2676343279966995,0.22553291513638254,964,805,315,1454,349.69401552155614,4.6747212409973145
LoRA,LoRA,none,0,0.37937837839126587,0.951872160823662,3538,0.9420576596947428,0.9420537665051771,0.9838797760948641,0.9825032012494184,0.9835343572978205,0.04456786004728772,0.006816489750541559,1652,117,88,1681,398.99114706367254,
LoRA + question-only retrieval,LoRA,question,2,0.47731053829193115,0.9445248184162346,3538,0.9262295081967213,0.9262287950866172,0.9786229520978884,0.9780468438138186,0.9786776503891018,0.05349960489405439,0.019502657017842484,1644,125,136,1633,461.19266438670456,4.993791580200195
LoRA + joint retrieval,LoRA,joint,2,0.5511509776115417,0.9213786207853445,3538,0.9157716223855286,0.9157709494921606,0.9718228417878283,0.9713647912431482,0.9727315295067405,0.06408150900905185,0.016655252930101335,1625,144,154,1615,465.7930246964097,4.9924635887146
